caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,LIMAS,P3,P4,P5_1,P5_2,P5_3,P5_4,P5_5,P6_1,P6_2,P6_3,P6_4,P6_5,P7_1_1,P7_1_2,P7_1_3,P7_2_1,P7_2_2,P7_2_3,P7_2_4,P7_3_1,P7_3_2,P7_3_3,P7_3_4,P7_4_1,P7_4_2,P7_4_3,P7_5_1,P7_5_2,P7_5_3,P7_5_4,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P9,P10,P11,P12_1_1,P12_1_2,P12_2_1,P12_2_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P15_1,P15_2,P15_3,P15_4,P15_5,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P16_9,P16_10,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22_1,P23_1,P23_2,P23_3,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P28_1,P28_2,P28_3,P28_4,P28_5,P28_6,P29_1,P29_2,P29_3,P29_4,P29_5,P29_6,P29_7,P29_8,P30_1,P30_2,P30_3,P30_4,P30_5,P30_6,P30_7,P30_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2
1,2,1,39,4,5,C1,1,32,2,1,1,2,3,5, , ,2,5, , , ,2, , , , , , , , , , , , , ,2, , , , , , , ,1, , , , , ,5,1,4, , , , ,18, , , , ,2,3,5,9,8,1,4,10,4, , , , ,2,4, , , , , , , , ,4, , , , , ,4, , , ,9, , , , , , , , , , ,2,4,16, , , ,9, , , ,9, , , ,9, , , ,9, , , ,9, , , , ,9, , , ,9, , , , , ,9, , , ,9, , , ,9, , , ,9, , , , , ,9, , , ,2, , , , , ,1,2,3,5,8, , , ,5, , , , , , ,7,8, ,6, , ,8,8,7,7, ,4, , ,7,1,2,3,5,8, ,2,9,9, , ,25, , , , , ,51, ,100,120,500, ,900, , ,120, ,1,1,1, ,3, , ,1, ,7,1,1.29761447,1.11111111
2,2,1,41,4,5,C1,1,32,2,1,1,2,3, , , ,2, , , , , , , ,1,2, , ,2, , , , , , , , , , , , , , ,2, , , , , ,2,2,4, , , , ,2,7, , , ,9,2,1,7,6,3,10,4,2,1,7, , ,2,7,12,1, , , , , , ,2,7, , , , ,2, ,11, , , , ,9, , , , , , , ,9,2,7,6, , ,2, , , ,2, , , ,2, , , ,2, , , ,2, , , , ,2, , , ,2, , , , , ,2, , , ,2, , , ,2, , , ,2, , , , , ,2, , , ,1,1,16, , , ,1,5, , , , , , ,5, , , , , ,5, , , ,6, , , ,4, , , ,5, , , ,3,5, , , , , , ,9, , ,98, , , , , , , , , ,500, ,1000, , , , , , ,1, ,1 botella, , , , ,8,1,1.29761447,1.11111111
3,2,1,43,4,5,C1,1,32,2,1,1,3, , , , ,2, , , , , , , ,1,2, , ,2, , , , , , ,3, , , , , , , ,1,8, , , , ,7,7,4, , , , ,8,15, , , ,7,9,5,12,1,6,4,8,16, , , , ,3,10, , , , , , , , ,10, , , , , ,10, , , , , , , , , ,9, , , , ,12,10,16, , , ,10, , , ,10, , , ,9, , , ,9, , , ,9, , , , ,10, , , ,9, , , , , ,9, , , ,7, , , ,7, , , ,9, , , , , ,9, , , ,2, , , , , ,1,5, , , , , , ,5, , , , , ,6, , , ,8, , , ,5, , , ,4, , , ,1,3,5, , , ,13, ,28, , ,28, , , , , , , ,150, ,120, ,1000, , , , ,1/4 de kilo, ,1, ,1, , , , ,9,1,1.29761447,1.11111111
4,2,1,51,5,4,B2,1,10,2,1,1,2,3, , , ,2,3, , , ,6, , , , , , ,1,2, , ,3, , , , , , , , , , ,1,2,4, , , ,2,2,4, , , , ,2,8, , , ,4,7,5,9,13,12,6,11,16, , , , ,12, , , , , , , , , ,12, , , , , ,12, , , , , , , , , , , ,11, , ,16,12,16, , , ,4,5,6, ,4,5, , ,4, , , ,1,4,5, ,1,4,6, , ,2,4,5, ,2,5,6, , , ,2,4, , ,2,4, , ,2,4, , ,2,4, , , , ,2,4,5, ,1,98, , , , ,5,7, , , , , , ,5,7, , , , , ,8, , ,7, ,10, , , , , ,5, ,4, ,7, , , , , , , , , , , , , ,31, , , , , , , , , , ,1000, , , , , , , , ,1, , ,10,1,.89314552,.93333333
5,2,1,51,5,5,C1,2,1,1,2,1,2,3, , , ,2, , , , , , , ,1, , , ,2, , , , , , , , , , , , , , ,1, , , , , ,1,1,2, , , , ,3, , , , ,4,7,11,9,2,1,13,12,16, , , , ,16, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , ,10, ,16,16, , , ,9, , , ,9, , , ,9, , , ,9, , , ,9, , , , ,9, , , ,8, , , , , ,9, , , ,9, , , ,9, , , ,8, , , , , ,8, , , ,2, , , , , ,1,3,5,7, , , , ,5, , , , , , , ,8, ,8, ,10, ,6, ,8, ,5, ,6, ,1,3,5,7, , ,13, ,28, , ,28, , ,107, , , , ,250, ,500, ,1000, ,350, , ,1, ,1, ,1, ,1, , ,11,1,1.18347052,1.23076923
6,2,1,33,3,6,C2,2,10,3,3,1,1,2,3,5, ,1,2, , , ,1,2, ,1, , , ,2, , , ,6, , ,2, , , , , , , ,3,6, , , , ,6,6,4, , , , ,5,16, , , ,11,7,10,2,6,5,1,4,4, , , , ,4, , , , , , , , , ,4, , , , , ,4, , , ,11, , , , , , , , , , ,23,4,16, , , ,8, , , ,7, , , ,7, , , ,7, , , ,7, , , , ,7, , , ,7, , , , , ,10, , , ,7, , , ,7, , , ,7, , , , , ,7, , , ,2, , , , , ,1,3,5,7, , , , ,5,7, , , , ,8, ,8, ,9, ,10, ,7, ,6, ,5, ,4, ,1,5,7, , , ,2, , , , ,25, , ,52, , , , ,100, , , ,900, ,380, , ,2, , , ,3, ,1, , ,12,1,1.09246215,1.03703704
7,2,1,50,3,7,D,1,43,4,2,1,3, , , , ,3, , , , , , , , , , , ,1,3, , , , , , , , , , , , , ,2, , , , , ,2,2,5, , , , ,9,10, , , ,9,2,10,7,6,4,5,13,17, , , , ,8,17, , , , , , , , ,17, , , , , ,17, , , , , , , , , , , , , ,11,8,17,16, , , ,10, , , ,6, , , ,6, , , ,10, , , ,10, , , , ,6, , , ,10, , , , , ,10, , , ,6, , , ,6, , , ,6, , , , , ,6, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , , , , , , , , , ,4, , , ,5, , , , , , , , , , ,19, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,14,1,.77236257,.85
8,2,1,24,2,4,B2,1,17,3,2,1,1,2,3, , ,2, , , , ,1,2, ,1, , , ,3, , , , , , , , , , , , , , ,1,5,8, , , ,7,1,4, , , , ,3,16, , , ,9,5,11,7,1,2,4,3,1, , , , ,1,7, , , , , , , , ,1, , , , , ,1,7, , , , , , , , , , , , , ,5,1,16, , , ,1,5, , ,9, , , ,1, , , ,1, , , ,1, , , , ,7, , , ,1,5, , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,9, , , ,1,1,7,12, , ,1,5,7, , , , , ,1,5,7, , , ,5, , , ,6, ,6, ,5, , , , , ,5, ,1,5,7, , , ,7, , , , ,2, , ,52, , , , ,100, , , ,500, ,250, , ,1, , , ,3, ,1, , ,15,1,.89314552,.93333333
9,2,1,22,2,7,D,1,10,3,2,1,1,2,3,4,5,2, , , , ,1, , ,1,2, , , , , , ,1, , ,1,2, , , , , , ,1, , , , , ,1,1,4, , , , ,2,5, , , ,1,9,12,7,6,13,8,5,1, , , , ,1, , , , , , , , , ,1, , , , , ,1,9, , , , , , , , , , , , , ,16,1,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,1,5,7, , , , , ,5,7, , , , ,5, , , ,6, ,10, ,3, , , ,3, ,5, ,1,5,7, , , ,6, , , , ,2, , ,64, , , , ,500, , , ,1000, ,310, , ,1, , , ,1, ,1, , ,16,1,.84059992,.86363636
10,2,1,33,3,5,C1,2,25,3,3,1,1,2,3,5, ,1,2,3,5, ,1, , ,2, , , ,3, , , , , , ,2, , , , , , , ,1,4, , , , ,1,4,4, , , , ,19, , , , ,7,11,12,2,4,6,13,1,1, , , , ,1,4,7, , , , , , , ,1, , , , , ,1,10, , , , , , , , , , , , , ,4,1,16, , , ,1,5, , ,1, , , ,1,5, , ,1, , , ,6, , , , ,5,6, , ,5, , , , , ,1, , , ,1, , , ,1,5, , ,1,5, , , , ,1, , , ,1,1, , , , ,5,7, , , , , , ,5,7, , , , , , , , ,8, ,5, , , , , ,5, ,5, ,5,7, , , , , , , , , ,2, , ,53, , , , , , , , ,1000, ,1000, , , , , , ,1, ,1, , ,17,1,1.09246215,1.03703704
11,2,1,40,4,5,C1,2,6,2,5,1,1,2,3,5, ,2,5, , , ,1,3, ,1,2, , ,2, , , , , , ,2,5, , , , , , ,2,3, , , , ,2,2,4, , , , ,5,6, , , ,3,5,7,9,2,1,13,4,16, , , , ,1,2,8, , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,8,1,16, , , ,1,2, , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1,2,6, ,1, , , ,1, , , , , ,9, , , ,1,1,6, , , ,1,3,4,7, , , , ,1,4,7, , , ,9, ,9,9, , ,9, ,4, ,8,3, , ,3, ,1,4, , , , ,2, , , ,2, , , , , , , , ,100, , ,120, , , , , ,3, , ,4, , , , , ,18,1,1.09246215,1.03703704
12,2,1,54,3,7,D,2,42,4,3,1,2,3,4,5, ,2,5, , , , , , ,1,2, , ,2, , , ,1, , ,1,5, , , , , , ,1,9, , , , ,1,7,5, , , , ,2, , , , ,9,11,2,5,1,6,13,4,3,7, , , ,3,7,8, , , , , , , ,3,7, , , , ,3, , ,7, , , ,8, , , , , , , ,8,7,16, , , ,3,5, , ,3,5, , ,3,5, , ,3, , , ,5, , , , ,5, , , ,3,5, , , , ,3,5, , ,3,5, , ,5, , , ,3,5, , , , ,5, , , ,1,98, , , , ,1,5,6,7, , , , ,1,5,7, , , ,5, , , , ,5,6, ,3, , , ,3,4,3, ,1,5,7, , , ,8, , , , ,24, , ,8, , , , ,80, , , ,1000, ,1000, , ,4, , , ,2, ,1, , ,19,1,.77236257,.85
13,2,1,38,4,5,C1,1,32,2,1,1,3,5, , , ,2, , , , , , , ,1,2, , ,1, , , , , , ,2, , , , , , , ,1, , , , , ,1,1,4, , , , ,2,3, , , ,2,9,7,5,1,10,12,13,1, , , , ,1, , , , , , , , , ,1, , , , , ,1,10, , , , , , , , , , , , , ,16,1,16, , , ,1, , , ,9, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,5, , , , , , , ,5, , , , , , , ,8, ,3, , , , , , , , , , , ,5, , , , , , , , , , ,2, , , , , , , , , , , ,500, , , , , , , , ,1, , , , ,20,1,1.29761447,1.11111111
14,2,1,28,3,5,C1,1,32,2,1,1,2,3, , , ,2, , , , , , , ,1, , , ,3, , , , , , , , , , , , , , ,1, , , , , ,1,1,5, , , , ,2,5, , , ,6,7,9,2,1,4,12,8,26, , , , ,1,6,26, , , , , , , ,26, , , , , ,26, , , , , , , , , , , , , , ,16,26,16, , , ,1, , , ,1, , , ,1, , , ,9, , , ,9, , , , ,9, , , ,9, , , , , ,9, , , ,9, , , ,9, , , ,9, , , , , ,1, , , ,1,4,3, , , ,1,2,3,4,5,7, , ,4,7, , , , , ,8, ,7,8, ,10, ,5,8,8,5,5, ,5, ,1,2, , ,5,7,13,9, , , ,15, , ,52, , , , ,50,120, , ,1000, ,350, , ,1 botellita,1, , ,1botella, ,3botella, , ,21,1,1.29761447,1.11111111
15,2,1,35,3,5,C1,1,37,2,1,1,1,2,3, , ,2, , , , ,2, , ,1,2, , ,2, , , , , , , , , , , , , , ,2, , , , , ,2,2,5, , , , ,3,5,11, , ,9,13,11,6,1,8,3,2,22, , , , ,1,22, , , , , , , , ,22, , , , , ,22, , , , , , , , , , , , , ,9,1,16,16, , , ,1, , , ,1, , , ,1, , , ,9, , , ,6, , , , ,6, , , ,9, , , , , ,6, , , ,6, , , ,6, , , ,6, , , , , ,6, , , ,1,5,15, , , ,2,3,5,6, , , , ,5, , , , , , ,5,7, ,7,6, , , ,7,6, ,4,6, , ,2,3,5,6, , , ,9,28, , ,14,9, , , , , , , ,120,500, ,1000,120, , , , ,1,1, ,1,1, , , ,22,1,1.29761447,1.11111111
16,2,1,31,3,3,B1,2,13,1,3,1,2,3, , , ,2, , , , , , , ,1, , , ,2, , , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,6,8, , , ,11,12,10,7,1,4,6,3,16, , , , ,4,7,10, , , , , , , ,4,7, , , , ,7, , , ,9, , ,10, , , , , , , ,16,7,16, , , ,5, , , ,5, , , ,5, , , ,5, , , ,5, , , , ,5, , , ,5, , , , , ,5, , , ,5, , , ,5, , , ,5, , , , , ,5, , , ,2, , , , , ,5,7, , , , , , ,5, , , , , , , , , ,9, ,8, , , , , ,3, ,3, ,5,7, , , , , , , , , ,98, , ,54, , , , , , , , ,1000, ,100, , , , , , ,1, ,1, , ,23,1,.84784707,1.05555556
17,2,1,33,3,5,C1,1,32,2,1,1,2,3,5, , ,2, , , , , , , ,1, , , ,2, , , , , , ,2, , , , , , , ,1, , , , , ,1,1,4, , , , ,8, , , , ,10,7,11,2,6,12,1,5,16, , , , ,4,7,10, , , , , , , ,4,7,10, , , ,10, , , ,7, , ,7, , ,9, , , , ,7,10,4,3, , ,5, , , ,5,7, , ,5, , , ,8, , , ,8, , , , ,5,8, , ,8, , , , , ,5,7, , ,5, , , ,5,7, , ,8, , , , , ,5,7, , ,2, , , , , ,5,7, , , , , , ,5,7, , , , , , , , ,8, ,8, , , , , ,4, ,4, ,5,7, , , , , , , , , ,98, , ,52, , , , , , , , ,1000, ,380, , , , , , ,1, ,1, , ,24,1,1.29761447,1.11111111
18,2,1,32,3,3,B1,2,33,4,2,1,1,2,3, , ,2, , , , ,1, , ,1,2, , ,3, , , , , , , , , , , , , , ,2,4, , , , ,2,4,5, , , , ,2,5, , , ,7,10,2,11,8,1,6,3,16, , , , ,16, , , , , , , , , ,16, , , , , ,14, , , , , , , , , , , , , ,7,16,16,16, , , ,9, , , ,9, , , ,10, , , ,8, , , ,6, , , , ,8, , , ,8, , , , , ,7, , , ,8, , , ,8, , , ,6, , , , , ,8, , , ,2, , , , , ,1,3,5,7, , , , ,1,5, , , , ,8, ,8, , , ,7, ,5, ,8, ,5, ,5, ,1,3,5,7, , ,2, ,9, , ,98, , ,52, , , , ,100, ,500, ,1000, ,400, , ,1, ,1, ,1, ,1, , ,25,1,1.99097395,1.4
19,2,1,40,4,2,A2,2,1,1,1,1,2,3,5, , ,2, , , , , , , ,2,9, , ,2, , , , , , ,5, , , , , , , ,2,4, , , , ,2,2,4, , , , ,3, , , , ,9,1,7,5,13,3,2,6,16, , , , ,6,7,8,10, , , , , , ,6,7,8, , , ,8, , , , , ,11,8,11, , , , , , ,6,8,16, , , ,6, , , ,4,6, , ,4,6, , ,6, , , ,10, , , , ,6, , , ,6, , , , , ,6, , , ,4,6, , ,4,6, , ,4,5,6, , , ,6, , , ,2, , , , , ,1,5,7, , , , , ,1,5,7, , , ,1, , , ,10, ,1, ,2, , , ,5, ,5, ,1,5,7, , , ,5, , , , ,98, , ,98, , , , ,100, , , ,1000, ,380, , ,1, , , ,1 botella, ,1 botellita, , ,26,1,.71410697,.86666667
20,2,1,49,5,5,C1,1,1,1,2,1,2,3,4, , ,2, , , , , , , ,1, , , ,7, , , ,1, , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,3, , , , ,11,7,4,10,1,6,2,13,16, , , , ,1, , , , , , , , , ,1, , , , , ,1,9, , , , , , , , , , , , , ,10,1,16, , , ,2,8, , ,9, , , ,9, , , ,8, , , ,8, , , , ,1, , , ,9, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,4, , , , , , , ,4, , , , , , , , ,7, , , , , , , ,4, , , , ,2,3,4,6,7, , ,2,2, ,2, ,8, ,116, , , , , ,1000,120,500, ,60,360, , , ,1pote,1,1, ,1,1, , ,27,1,1.18347052,1.23076923
21,2,1,33,3,5,C1,1,32,2,1,1,3, , , , ,1,5, , , ,1, , , , , , ,2, , , , , , ,2, , , , , , , ,1, , , , , ,1,1,4, , , , ,5,11, , , ,7,10,2,1,4,6,12,8,4, , , , ,8,10,4, , , , , , , ,4, , , , , ,4, , , ,10, , , , , , , , , , ,8,4,16, , , ,9, , , ,6, , , ,5,6, , ,6, , , ,9, , , , ,6, , , ,9, , , , , ,9, , , ,6, , , ,9, , , ,6, , , , , ,6, , , ,2, , , , , ,5,7, , , , , , ,7, , , , , , , , , ,6, ,5, , , , , ,4, ,4, ,5,7, , , , , , , , , ,25, , ,100, , , , , , , , ,900, ,630, , , , , , ,2, ,2, , ,28,1,1.29761447,1.11111111
22,2,1,26,3,5,C1,2,11,2,2,1,2,3,5, , ,2,3,5, , , , , ,1,2, , ,2,3, , , , , ,2, , , , , , , ,1, , , , , ,1,1,4, , , , ,3,8, , , ,7,1,9,5,4,6,12,13,1,4, , , ,1,4,6,8,12, , , , , ,1,8, , , , ,1,10, , , , , , ,5, , , , , , ,8,1,16, , , ,1, , , ,4,6, , ,1,4, , ,1, , , ,9, , , , ,1,4,6, ,6, , , , , ,1,6, , ,1, , , ,9, , , ,1,3,4,6, , ,1,4,6, ,1,1, , , , ,3,4,5, , , , , ,5, , , , , , , , ,6,6, , , , , ,5,4,4, , , ,3,5, , , , , , ,18, , ,2, , , , , , , , , ,120, ,1000, , , , , , ,1, ,1, , , , ,29,1,1.29761447,1.11111111
